,text,mark
0,['Әрине демеушісі бары аныққо. Саясатқо бәрі'],0
1,['Қуғынбек'],0
2,['ужасс лакпасайщ миын жокпа сенин'],0
3,['Вахаббистер'],0
4,['Itakta alup jatr. China'],0
5,['@Нурмухамметали Карабаев itakta alyp jatyt'],0
6,['@Нурмухамметали Карабаев kazakhstanda da munai bargoo'],0
7,['@Нурмухамметали Карабаев kazakhstanga nege sogys ashpayd\n Al'],0
8,['@Oljas Kerey Америкаға мұнай керкк — Мұнайды алу үшін ол — Әр түрлі жолдар ойлап тауып жатыр'],0
9,"['@Oljas Kerey Надансыңба??? Сенің түйсігің бітеума??? — \n— Мықты Америка, Сонда Ғимаратқа Бет Алған — Терорларды Атып түсіруге Қауқары Жетпедіма??? Жауап берші??? — Бул америка өзі қолдан жасап отқаны Белгіліғой']",0
10,"['@Oljas Kerey Сен бірааз Жаңалықтан, Цевилизациядан қалып қойыпсыңғой))']",0
11,['@Нурмухамметали Карабаев dalel'],0
12,['@Oljas Kerey  Американың  Екі Ғимаратты Өзі Жарғанын — Журналистер мойындаттығой..... Оданда хабарың жоқпа?'],0
13,"['@Oljas Kerey Ойбуууу Сен өзі қызық екеесің... Америка  екі жузділікке салынып, Өздерін солай корсетіп жатканы сені таң калдырмайма???']",0
14,['Sen nadansynba? Amerika 2001 de bulardy kuyp shygyp bilikten ketirdi. Endi kayta bilikke kelip jatr. Amerikanyn Odaktasy bolsa bilikten ketirmes edi .baspen oyla səlde bolsa'],0
15,"['1994 жылы курылган медреседеги студенттер уйымы, максаты елди шаригат динимен баскару айелдерди адам курлы кормеу бизге де сойту керек негизи кыздарымыз еркинсип кетти тик ток тусирип жартылай жаланыштанып куйеун не жигитин тындамайды кимде дуние машина бар сонын куыршагы']",0
16,['Талибан деген типа улт типа клан деген сиякти игил мажахит талибан'],0
17,['@Бауыржан Манап талибтер Қазақстан ға кирип келсе соларға қосылып кететиндеи болып отсынго'],0
18,['@Макс Халид бздің ата бабасзда қан тогістіго жер ушн'],0
19,['@Макс Халид құад екенсн'],0
20,['@Макс Халид қүмаш'],0
21,['@Бауыржан Манап қалай болсада әйел балашагаларына обал жасап тұр'],0
22,['@Бауыржан Манап қалай болсада әйел балашагаларына обал жасап тұр'],0
23,['@Макс Халид мысалы қалаи бурнда Ауғанстан ның жері талип тердікі боган сондан согс ашты енді тегн бере салмаит шғар:'],0
24,['@Бауыржан Манап Соғысызда шешуге болды таза керек болса қарапайым халық қаңғырып кетті сол жақсы ма әйел балашага'],0
25,['@Макс Халид құмаш олар талибтер оздері тауелсз алғысы келеді сол ушн устіп жатр;'],0
26,['@Бауыржан Манап Дін жолын расымен устанатын болса адам олтирмеиди рас емеспа'],0
27,['Құмаш құад екесің🤣🤣🤣🤣'],0
28,['Адаскандар олар'],0
29,['Ауған деген қазақ сияқты ұлт. Олар да біз сияқты мұсылмандар'],0
30,['@mika жоқ крч олар халықты білімсіз қылып халықты керегіне жаратып отпақшы болар'],0
31,['@mika привет'],0
32,['Оқу жазу білмесе қаяқтың мемлекеті.Завод жоқ жұмыс жоқ нашамен айналысқаннан басқа.Или қой бақтырукерек. Соны көбейтіп сатып күнкөрсін'],0
33,['@Oljas Kerey неге'],0
34,['@mika bolsyn'],0
35,['Діни мемлекет болатын сияқты'],0
36,['М'],0
37,['Ляқпаш'],0
38,['😂👍'],0
39,['😂'],0
40,['Kotakty jeme nurotanba baska ma sigilip ketsin. Kazakhstandan'],0
41,['Жане котке киретиндер'],0
42,['@Central Asia Democrat 👍👍👍'],0
43,['@Central Asia Democrat 😂👍'],0
44,['@Central Asia Democrat биздин болашағымыз балаларым не болады еекен Алла!!!! 😭😭😭'],0
45,['@Beka Qazaq ештеңе де болмайды не болу керек Талибан Кабул үшін барын салады'],0
46,['@Central Asia Democrat Сонда не болады?'],0
