,text,mark
0,спасибо блокировке инстаграма))),0
1,"Санкции и блокировки от РКН кому то в плюс, кому то в минус",0
2,"люблю вк, но это не ваша заслуга",0
3,"Пушка 🔥🔥🔥 Спасибо, любимый ВК ❤",0
4,"Ну так, блокировка мессенджеров и т.д = ваша выгода.",0
5,ВК - РУЛИТ !!!,0
6,Клипы кто-то смотрит?😏,0
7,,0
8,Вк - лучшие 🙏🏻❤,0
9,Разве это заслуга вк?,0
10,"Что значит Q1?
Квартал?

Вы тоже заметили?! :)",0
11,"Просмотры клипов выросли только потому, что в мобильном приложении у них абсолютно неудобное расположение. Попробуйте для эксперимента передвинуть кнопку с клипами куда-нибудь в другое меню,- я без навыков аналитики и реальной статистики гарантирую падение просмотров минимум на 10%. Про то, что этот рак постится некоторыми группами прямо в ленту, показывается в виде подборки, а также создаëт (создавал как минимум) уведомления, упоминать не приходится. Кстати, господа, а что там с переносом аккаунтов из Инстаграма? Говаривают, что до сих пор не работает.",0
12,Любимый ВК спасибо что ты с нами любимый сайт❤,0
13,"Новых пабликов +68% 
Охваты упали в разы! Ужас какой-то. В паблике где 4000 подписчиков - видят запись всего 50-70 человек 🫣😱 Как это вообще возможно? Что с алгоритмами в Вк?",0
14,"Спасибо руководству страны, которое озабочено проблемой нацизма в других отдельно взятых странах",0
15,"и то, миссклики по видео и клипам",0
16,"Эффективность не выросла, а в процентном соотношении получается что даже упала.",0
17,Сделайте  музыку бесплатно,0
18,Неудивительно с ситуацией в мире),0
19,,0
20,Только ВК!!! 🍒,0
21,"Вё возвращаться, получается эффект бумеранга.",0
22,ВК виснет,0
23,Наконец-то ВК всех победил!!! Осталось решить вопрос с продвижением и рекомендациями и мы вообще ни в какую соцсеть не уйдем!!!,0
24,"Кто хочет выработать регулярность выпуска постов, жду вас. движ бесплатный - на вылет",0
25,Привет,0
26,"Без ВК без Индии,сериалов и музыки дышать не могу. Глюков правда много.",0
27,"Инсту нафиг удалил, вк всегда была любимой платформой.",0
28,А чо с прослушиваниями музыки кста? Интересно стало!,0
29,Количество уголовных дел за картинки и репосты тоже наверное рекордное?,0
30,давай бесплатный музон😊а то ваша реклама бесит.,0
31,Клипы постоянно закрывает реклама. Не смотрю клипы. Без рекламы можно обойтись?,0
32,,0
33,,0
34,Я вместо вашего новноприложения использую vk mp3,0
35,"Хах, а всего лишь надо было заблокировать все остальные соц.сети",0
36,"почему когда я голосовое записываю с ноутбука, больше 4 минут,то потом ""ошибка при загрузке"",чё совсем ошалели? А с телефона хоть 40 минут записывай, отправится. Чё за дела,блин,вечно перезаписывать надо.😬🙄🤬",0
37,,0
38,Спасибо за вашу работу и заботу,0
39,Наши поздравления 🥳 теперь используйте ситуацию ;) мы в вас верим,0
40,"Из-за всего этого, начались всякие баги и ошибки, только сайт, да приложение тормозит! Ну так нельзя, я в жизни в ВК, я не писал так много обращений в поддержку!",0
41,"Что вы сделали, чтобы ваша аудитория била все рекорды?",0
42,"Команда ВКонтакте.
Вы молодцы продолжайте работать и продвигать нашу любимую сотсеть.",0
43,"А админское приложение как не работало, так и не работает. Приходится заходить через браузер, что очень неудобно.",0
44,Осталось наладить рекламу которая от этого прилегла 😂,0
45,клоуны вы зачем вк шатаете кривой поделкой под запад опять,0
46,"шо за?
Позже выдало 54тыс. подписчиков, а после все подписчики/участники исчезли с одноимённой строкой.
Скрываете подписчиков?",0
47,"Как выключить клипы, они мне и нах не нужны. Только места занимает",0
48,"пожалуйста, добавьте индонезийский и автоматический перевод 🙏🇮🇩🇷🇺",0
49,Где новые серверы брать будете?,0
50,ВК займи косарь?,0
51,Охват по моей аудитории вырос с начала месяца в 3раза🤓,0
52,Забавно,0
53,"ВК , вы хоть фильтруйе рекламу в ленте по регионам.",0
54,,0
55,Рынок Садовод,0
56,"Это не ваша заслуга, это потому что инста отвалилась",0
57,🇧🇷👍,0
58,У меня у одного сообщения в мобильной версии не прогружаются вообще?,0
59,"Из русских платформ, К моему удивлению стала самая доступная для незрячих, лучше всяких Яндекс дзен.👍 Хотя вы и дзен покупаете, может быть и его доступность сделайте нормальный, хотя навряд ли с ВК тоже долго всё было.",0
60,"Хватит хвалить, а то растащатся 😁",0
61,"Спасибо не нам, а операции )",0
62,"Как это аудитория вк миллионы ,а просмотры видео вк миллиарды? Вы в своём уме вообще?что это за подсчёты такие непонятные?на кого это рассчитано?",0
63,Забавно,0
64,Забавно,0
65,ВК один из самых крутых приложений,0
66,"Ещё бы вы вовремя блокировали антироссийский контент.., ботов и всякую нечисть.., а то складывается впечатление, что эта враждебная соцсеть. Пожелание такое у меня к вам, иначе сомнения обуревают, кто вы?!?",0
67,,0
68,Почему приложение инфоапп не показывает коментарии пользователя?,0
69,"Умерьте аппетиты по рекламе. Перестал смотреть видео из-за постоянной рекламы. Если так и дальше пойдет придется покинуть ваши сети. Жадность - это грех, а он ведет к смерти! Помните об этом всегда.",0
70,,0
71,"VK, 🍼 не накормишь статистикой, Спасибо ! ""Один, учённый, убеждал , что ему, упало на голову ""Яблоко"", результат!, ЛЮДИ узнали гравитацию, BK , в перёд, сложных ограничений и запусков ( в лимит,  и платных услуг), . ВК,  Я, с тобой. Меня, пока!!! Устраивает. Спасибо.",0
72,Не верю,0
73,"Статистику посаженных в тюрьму людей, за комментарии в ВК будете выкладывать?",0
74,Ok,0
