,Unnamed: 0,Unnamed: 0.1,text,mark
0,0.0,0.0,Сирияда болып жатқан соғыс дұрыс соғыс капірлерге тағутарға қарсы соғыс болып жатыр қай ел өзіні мұсылман елміз дес бірақ ол елде шариғат заңымен басқармаса ол елді басқарып жатқандар тағут мүшрік есептеледі,0
1,1.0,1.0,Біреугедін көніліне  күлкі білеуіне мұң ұялататын корініс . Аллах адастырмасын бәрімізде бала бар жаман жазбаныздар,0
2,2.0,2.0,8жыл коршиси сол баягы халатпен жур))),0
3,3.0,3.0,Ои кешириниздер абаиланыздар,0
4,4.0,4.0,Абаила,0
5,5.0,5.0,Қойыңыздар бұл жерде ата ананың түк кінәсі жоқ ол ортаға байланысты олай анасының көзінше айтуға болмайды ана жүрегі көтермейді ондай сөзді оның орнына өздеріңізді қойып көріңіздер обал ғой кім болсада баласын жамандыққа қисын,0
6,6.0,6.0,Алла сактасн,0
7,7.0,7.0,Өздерің жұректерің ненің жақсы жаман екенін біледіғо не дін туралы бастарыңды қатырасыңдар тыныш өмір сүріңдершеіш семіздікті тек қойғана көтерген соны ұмытпаңдар,0
8,8.0,8.0,мəні жоқ мағанасы жоқ.Түсініксіз,0
9,9.0,9.0,Емшегі жабық ана табылмадыма,0
10,10.0,10.0,"Әкен өледі сакал өсірме ,аган өледі мурт өсірме деушеді бурынгы аталар   осындаи пәленін алдын алган екенгой,әдеп гурыпка салтсанага калкалай керек әитпесе  адасамыз ,салт гасырлар бойы сарапталган кодымыз гой осынын кашан кәдіріне жетеміз.",0
11,11.0,11.0,Не басы жок не аягы жок.режисерларымызда бир роликти тусиникте етип тусире алмайды ал киноларды айтпайак койайык,0
12,12.0,12.0,Оданда балык аулап журмисинба рахатко сол,0
13,13.0,13.0,Иман жүректе,0
14,14.0,14.0,Ата анасы кыйын болды аке шеше жылмасын,0
15,15.0,15.0,Бахабист  демендер.,0
16,16.0,16.0,Ай котти кысып жургенге не жетсин,0
17,17.0,17.0,Жазыксыз Ана байгус киналады.,0
18,18.0,18.0,тупой,0
19,19.0,19.0,Құдайым Аллам Жаратқан ием сақтай гөр.,0
20,20.0,20.0,Ана отирик сакал не ол биконсник,0
21,21.0,21.0,Актёрлар емес мыналар мен жаксы ойнаймын ба деп калдым гой,0
22,22.0,22.0,"Омиримде тойдан саркытсыз кайткан аке-шешени кордим,😂",0
23,23.0,23.0,"БАЛАҢА ДІНДІ ӨЗІҢ ҮЙРЕТПЕСЕҢ , ЕРТЕҢ  САУСАҒЫҢДЫ ШАЙНАЙСЫң.",0
24,24.0,24.0,сириямен соғысғанша еліңді қорға арамдар,0
25,25.0,25.0,"Кетші кырткан видео ғой, баскаша тусире алмадындарма ))) ай әйтеуір бурмалап тусиресиндер",0
26,26.0,26.0,"Осындай видиолар көп болса екен,<br>Қайдағы жоқ Америка мен Шет елдің ютубын дамытқанша осы өзіміздің Қазақтың дəрежесін көтерейік,<br>Дұрыс тəрбие бəрі-бəрі ата-анаға байланысты ойнайық бауырлар Сирияға кетіп адаспайықшы,<br>Өзіміздің ата-бабамыз оқыған Намаз жолымен жүрейікші!!!",0
27,27.0,27.0,Ассалаумагалейкум. Мен жакында Араб амирлигинде болдым. Ол жакта биздикилер секилди сакалдарын кылтитып журген мусылман жок.  Бир адам жок балагын кесип журген.,0
